web-scraper-order,web-scraper-start-url,page,page-href,title,author_name,date
1614669970-1025,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,Daughter of Gloriavale: My life in a Religious Cult,"Tarawa, Lilia","Nov 18, 2019"
1614669986-1091,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,Fantastic Beasts and Where to Find Them,"Scamander, Newt",null
1614669990-1107,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=7&per_page=20&shelf=read&utf8=%E2%9C%93,"Ultraviolet
        (Ultraviolet, #1)","Anderson, R.J.",null
1614669970-1036,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,Spark Joy: An Illustrated Guide to the Japanese Art of Tidying,"Kondo, Marie","Aug 24, 2019"
1614669981-1077,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,Astrophysics for People in a Hurry,"Tyson, Neil deGrasse","Aug 29, 2018"
1614669956-990,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,"The Ballad of Songbirds and Snakes
        (The Hunger Games, #0)","Collins, Suzanne","Dec 04, 2020"
1614669975-1051,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,"Happily Ever After
        (The Selection, #0.4, 0.5, 2.5, 3.1, 3.5)","Cass, Kiera","Mar 26, 2019"
1614669981-1083,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,The Financial Diet,"Fagan, Chelsea","Apr 28, 2018"
1614669970-1038,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,Hidden Figures,"Shetterly, Margot Lee","Jul 23, 2019"
1614669986-1087,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,The Fault in Our Stars,"Green, John",Mar-18
